STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,9.013769,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,KOR,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,6.5938,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,JPN,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,4.1,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,EU27_2020,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,14.99147,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,EA20,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,14.52289,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,USA,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,9.766666,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,GBR,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,14.13916,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,TUR,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,16.25986,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,CHE,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,8.999037,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,SWE,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,23.38134,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,ESP,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,24.69045,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,SVK,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,15.05056,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,PRT,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,19.45774,,,,A,,0,,1,
